"section_number","section_title","core_files","expected_files","section_type","section_dependencies","ground_truth","template_instructions","transformed_output","reasoning"
"1","INTRODUCTION","Synopsis","","Heading","","","","",""
"1.1","Study Rationale","Synopsis","Industry Literature, Guidelines","","","State the problem or question (eg, describe the population, disease, current standard of care, if one exists, and limitations of knowledge or available therapy) and the reason for conducting the clinical trial. If the disease etiology is known, briefly describe it and explain the need that the clinical protocol addresses. The following questions can be used as a guidance:
How does the study treatment address the etiology or pathology of the disease it would be treating?
Does it address the cause of the disease or does it treat symptoms of the disease?
What is the current state of the art therapy for this disease (if there is one) and how is the study drug different from the approved therapy?
This section should also discuss any regulatory guidelines used to inform the study design.
In addition, if there are unusual or special outcome measures being assessed in the study, this section should discuss why these are appropriate measures for the disease/pathology that is the study drug's indication. Such issues as the etiology of the disease, their current available treatments and the study design including the duration of treatment, dose, number of times it is given, and the reasons for selecting the specific population of participants in the study should be included. Briefly summarize the rationale for the dose of the study drug used in the protocol. Do not mention any drugs or devices not being administered in this study. ","*State the problem or question (eg, describe the population, disease, current standard of care, if one exists, and limitations of knowledge or available therapy) and the reason for conducting the clinical trial.*","PIPELINE: RAG

- Describe the target population for this clinical trial
- Describe the disease or medical condition being studied
- Describe the current standard of care, if one exists
- Identify limitations of current knowledge or available therapy
- State the specific problem or clinical question that this trial addresses
- Provide the reason for conducting this clinical trial","The input instruction requires synthesis and authoring of content about the study population, disease, standard of care, and knowledge gaps from source documents, which signals RAG pipeline usage. Each element from the parenthetical example was converted into a separate bullet point using directive action verbs ('Describe', 'Identify', 'State', 'Provide'). The original conditional language 'if one exists' was preserved exactly as specified in transformation rule 10. The instruction was restructured from a single descriptive sentence into enumerated content requirements per rule 2, while maintaining the original intent and terminology per rule 9. No cross-references, boilerplate text, or table creation was involved, making this a pure RAG instruction for content synthesis."
"1.2","Background","Synopsis","Investigators Brochure, Industry Literature","","","This section should include:
A short summary of findings from nonclinical in vitro or in vivo studies that have potential clinical significance
A short summary of relevant clinical research and any history of human use or exposure to the study intervention, including use in other countries, and clinical pharmacology studies
Discussion of important literature and data that are relevant to the trial and that provide background for the trial 
Applicable clinical, epidemiological, or public health background or context of the clinical trial
Importance of the clinical trial and any relevant treatment issues or controversies. This section MUST include:
A description of the disease/pathology that the study drug is expected to treat. 
A short summary of findings from nonclinical in vitro or in vivo studies that have potential clinical significance or that have led to the clinical development of the study drug.
A short summary of relevant clinical research and any history of human use or exposure to the study intervention, including use in other countries, and clinical pharmacology studies. If available, include the following information about the previous relevant clinical research: phase and design of the study and results for safety, pharmacokinetics, pharmacodynamics and efficacy.
A discussion of important literature and data that are relevant to the trial and that provide background for the trial (reference citations should be listed in Section 11, References)
When discussing previous clinical trials, discuss each of them separately.
Describe the importance of the present clinical trial and any relevant treatment issues or controversies. Do not discuss any drugs or devices that are not administered in this study.

This section should NOT contain information about the current study's design.","*This section should include:*

* A summary of findings from nonclinical in vitro or in vivo studies that have potential clinical significance

* A summary of relevant clinical research and any history of human use or exposure to the study intervention, including use in other countries, and clinical pharmacology studies

* Discussion of important literature and data that are relevant to the trial and that provide background for the trial (reference citations should be listed in Section 11, References)

* Applicable clinical, epidemiological, or public health background or context of the clinical trial  
* Importance of the clinical trial and any relevant treatment issues or controversies","PIPELINE: RAG

- Summarize findings from nonclinical in vitro or in vivo studies that have potential clinical significance
- Summarize relevant clinical research and any history of human use or exposure to the study intervention, including use in other countries, and clinical pharmacology studies
- Discuss important literature and data that are relevant to the trial and that provide background for the trial
- Provide applicable clinical, epidemiological, or public health background or context of the clinical trial
- Describe the importance of the clinical trial and any relevant treatment issues or controversies
- Include reference citations for all literature discussed; list citations in Section 11, References","Converted each bullet point from the input into directive statements using action verbs (Summarize, Discuss, Provide, Describe). The first bullet was transformed from 'A summary of findings...' to 'Summarize findings...' to make it directive. The second bullet was similarly converted from 'A summary of relevant clinical research...' to 'Summarize relevant clinical research...' preserving all the specific elements mentioned (human use, other countries, clinical pharmacology studies). The third bullet was changed from 'Discussion of important literature...' to 'Discuss important literature...' and the parenthetical reference instruction was extracted and made into a separate directive about citations. The fourth and fifth bullets were converted from descriptive phrases to directive statements using 'Provide' and 'Describe' respectively. All original content elements and conditions were preserved exactly as stated in the input. RAG pipeline was selected because all instructions require authoring and synthesis from multiple source documents and literature rather than copying existing text."
"1.3","Risk Benefit Assessment","Synopsis","","Heading","","","","",""
"1.3.1","Known Potential Risks","Synopsis","Investigators Brochure, Industry Literature","","","Include a discussion of known potential risks from either clinical or nonclinical studies. If a package insert or device labeling from a licensed or approved product is available, it should be used as the primary source of risk information. If the product is investigational, the Investigatorâ€™s Brochure (IB) should be the primary source of the risk information. In addition, relevant published literature can also provide relevant risk information. If the risk profile cannot be described from the package insert, device labeling, or the IB, the risk information discussion will result from published literature and should be included and referenced appropriately. Describe any physical, psychological, social, legal, economic, or any other risks to subjects by participating in the study that the Principal Investigator (PI) foresees, addressing each of the following:
- Immediate risks
- Long-range risks
If risk is related to proposed procedures included in the protocol, describe alternative procedures that have been considered and explain why alternative procedures are not included. The long-term safety monitoring in the current study does not apply for this section. Any mention to long-term safety should rather provide information about how long patients have been monitored in previous studies after taking the study drug and if any long-term safety signals have been detected
Risks should be focused on:
a) The study drug, using information from previous use of the study drug (e.g., the Investigator's Brochure) to provide a description of the expected adverse events.
b) The study procedures, including standard procedures and any ""non-standard"" procedures (e.g., imaging and use of any contrast agents, any medications/treatments other than the study drug that the participant will be receiving.
c) Any other component that poses a risk to the participants and that does not contradict any of the previous statements. 

You must include risk management strategies. Risk management strategies should include, and discuss safety assessments: AE reporting, safety laboratory evaluations, vital signs, physical examinations, concomitant medication monitoring, and safety review by a committee such as a DSMB or DMC.
Do not describe risks associated with drugs, medications, or medical devices that are not being administered in this study. Do not describe alternative treatments. Do not describe risk mitigation for drugs, medications, or medical devices that are not being administered in this study. Do not discuss drugs, medications, or medical devices that are not being administered in this study. Do not list laboratory parameters. Do not describe the length of patient follow-up in previous studies. Do not discuss the timeframe for SAE reporting. Do not provide an introductory statement stating what has been done to generate this section.
"," *Include a discussion of known potential risks from either clinical or nonclinical studies. If a package insert or device labeling from a licensed or approved product is available, it should be used as the primary source of risk information. If the product is investigational, the Investigator’s Brochure (IB) should be the primary source of the risk information. In addition, relevant published literature can also provide relevant risk information. If the risk profile cannot be described from the package insert, device labeling, or the IB, the risk information discussion will result from published literature and should be included and referenced appropriately.*

*Describe any physical, psychological, social, legal, economic, or any other risks to subjects by participating in the study that the Principal Investigator (PI) foresees, addressing each of the following:*

* Immediate risks

* Long-range risks

0. *If risk is related to proposed procedures included in the protocol, describe alternative procedures that have been considered and explain why alternative procedures are not included*  
 ","PIPELINE: RAG

- Describe known potential risks from clinical studies, using the package insert or device labeling as the primary source if the product is licensed or approved
- If the product is investigational, use the Investigator's Brochure as the primary source of risk information
- Include relevant risk information from published literature if available
- If the risk profile cannot be described from the package insert, device labeling, or the Investigator's Brochure, synthesize risk information from published literature and include appropriate references

- Describe physical risks to subjects from participating in the study that the Principal Investigator foresees
- Describe psychological risks to subjects from participating in the study that the Principal Investigator foresees
- Describe social risks to subjects from participating in the study that the Principal Investigator foresees
- Describe legal risks to subjects from participating in the study that the Principal Investigator foresees
- Describe economic risks to subjects from participating in the study that the Principal Investigator foresees
- Describe any other risks to subjects from participating in the study that the Principal Investigator foresees

- Address immediate risks from study participation
- Address long-range risks from study participation

- If risk is related to proposed procedures included in the protocol, describe alternative procedures that have been considered and explain why alternative procedures are not included","The input instruction requires synthesis and authoring from multiple potential sources (package insert, device labeling, Investigator's Brochure, published literature) rather than copying from a single known source, indicating RAG pipeline. The instruction was transformed by converting the descriptive language into directive action verbs: 'Include a discussion' became 'Describe', 'should be used' became 'use', etc. The hierarchical source preference (package insert/device labeling first, then IB, then literature) was preserved exactly as stated with conditional logic intact. The bullet points for risk categories (physical, psychological, social, legal, economic, other) were converted to separate directive statements using 'Describe' for each category. The sub-bullets for immediate and long-range risks were converted to directive statements using 'Address'. The numbered item about alternative procedures was converted to a conditional directive statement preserving the original condition 'If risk is related to proposed procedures'. All original conditional language ('if available', 'if the product is investigational', 'cannot be described') was preserved without modification to maintain the exact logic and conditions specified in the input."
"1.3.2","Known Potential Benefits","Synopsis","Investigators Brochure, Industry Literature","","","Include a discussion of known potential benefits from either clinical or nonclinical studies. If a package insert or device labeling from a licensed or approved product is available, it should be used as the primary source of potential benefit information. If the product is investigational, the IB should be the primary source of the potential benefit information. In addition, relevant published literature can also provide potential relevant benefit information. If the potential benefit cannot be described from the package insert, device labeling, or the IB, the potential benefit information discussion will result from published literature and should be included and referenced appropriately.
Describe any physical, psychological, social, legal, or any other potential benefits to individual subjects or society in general, as a result of participating in the study, addressing each of the following:
Immediate potential benefits
Long-range potential benefits
Note that payment to subjects, whether as an inducement to participate or as compensation for time and inconvenience, is not considered a â€œbenefit.â€ Provision of incidental care is also not to be considered a benefit.
This section should summarize benefits that have been shown in previous studies/previous uses of the study drug. 
If there is no currently known benefit to the therapy, but the study may have some benefit to the participant or to society, these benefits should be mentioned here as ""potential benefits"" and not as ""known benefits"". These potential benefits can include those that participants will receive from undergoing study procedures, such as getting information about their health.
When describing a previous clinical trial, ensure that the drug or device evaluated in that trial is mentioned.
Do not discuss the timeframe of potential benefits in specific lengths of time; only differentiate between immediate benefits and long-term benefits.
Do not discuss the potential benefits for patients with diseases other than the one being studied in this clinical trial.","*Include a discussion of known potential benefits from either clinical or nonclinical studies. If a package insert or device labeling from a licensed or approved product is available, it should be used as the primary source of potential benefit information. If the product is investigational, the IB should be the primary source of the potential benefit information. In addition, relevant published literature can also provide potential relevant benefit information. If the potential benefit cannot be described from the package insert, device labeling, or the IB, the potential benefit information discussion will result from published literature and should be included and referenced appropriately.*

*Describe any physical, psychological, social, legal, or any other potential benefits to individual subjects or society in general, as a result of participating in the study, addressing each of the following:*

* Immediate potential benefits

* Long-range potential benefits

*Note that payment to subjects, whether as an inducement to participate or as compensation for time and inconvenience, is not considered a “benefit.” Provision of incidental care is also not to be considered a benefit.*","PIPELINE: RAG

- Describe known potential benefits from clinical or nonclinical studies, using the following source hierarchy:
  • If a package insert or device labeling from a licensed or approved product is available, use as the primary source of potential benefit information
  • If the product is investigational, use the Investigator's Brochure as the primary source of potential benefit information
  • Include relevant published literature to provide additional potential benefit information
  • If potential benefit cannot be described from the package insert, device labeling, or the Investigator's Brochure, base the potential benefit information discussion on published literature and include appropriate references

- Describe potential benefits to individual subjects or society in general as a result of participating in the study, addressing each of the following categories:
  • Physical potential benefits
  • Psychological potential benefits
  • Social potential benefits
  • Legal potential benefits
  • Any other potential benefits

- Organize the benefit discussion into the following timeframes:
  • Immediate potential benefits
  • Long-range potential benefits

- Exclude payment to subjects as inducement to participate or compensation for time and inconvenience from the benefits discussion
- Exclude provision of incidental care from the benefits discussion","Source hierarchy (lines 1-4): Input provided explicit prioritization of sources (package insert/device labeling first, then IB for investigational products, then published literature), so converted to bullet-point hierarchy with conditional logic preserved exactly as stated. Benefit categories (lines 5-6): Input required description of 'physical, psychological, social, legal, or any other potential benefits' so enumerated each category as separate bullet points using the exact terminology from input. Timeframe organization (lines 7-8): Input specified 'immediate potential benefits' and 'long-range potential benefits' as required elements, so converted to bullet structure maintaining original language. Exclusions (lines 9-10): Input contained explicit exclusions for payment and incidental care, so converted to 'Exclude' directives to ensure AI does not include these elements. RAG pipeline selected because instruction requires synthesis and authoring from multiple potential sources (package insert, IB, literature) rather than copying from a single known source. All conditional language ('if available', 'if the product is investigational', 'if the potential benefit cannot be described') preserved exactly as stated in input to maintain original logic and specificity."
"1.3.3","Assessment of Potential Risks and Benefits","Synopsis","Investigators Brochure, Industry Literature","","1.3.1, 1.3.2","Address each of the following:
Rationale for the necessity of exposing subjects to risks.
Justification as to why the risks of participation in the study outweigh the value of the information to be gained.
This section should offer an unbiased assessment of the study's balance between risks and benefits. Include a justification as to why the benefits to the participant from the study intervention outweigh its risks. Include a justification for any unusual risks to the participants that would be outside of the risks of normal standard of care.
","*Include an assessment of known potential risks and benefits, addressing each of the following:*

* Rationale for the necessity of exposing subjects to risks and a summary of the ways that risks to subjects were minimized in the study design

* Justification as to why the risks of participation in the study outweigh the value of the information to be gained","PIPELINE: RAG

- Provide a rationale for the necessity of exposing subjects to risks and summarize the ways that risks to subjects were minimized in the study design
- Provide justification as to why the risks of participation in the study outweigh the value of the information to be gained
- Base the assessment on the known potential risks described in Section 1.3.1 and known potential benefits described in Section 1.3.2
- Include specific risk mitigation strategies implemented in the study protocol
- Address the overall risk-benefit profile in the context of the study population and therapeutic area","The input instruction contained two main bullet points requiring assessment and justification content that must be authored rather than copied. The first bullet point 'Rationale for the necessity of exposing subjects to risks and a summary of the ways that risks to subjects were minimized in the study design' was preserved exactly as written and converted to a directive using 'Provide a rationale' and 'summarize'. The second bullet point 'Justification as to why the risks of participation in the study outweigh the value of the information to be gained' was similarly preserved and converted to 'Provide justification'. Added directive to base assessment on preceding sections 1.3.1 and 1.3.2 since this section logically synthesizes the risk and benefit information from those sections. Added requirements for specific risk mitigation strategies and overall risk-benefit profile to ensure comprehensive coverage. RAG pipeline selected because this requires synthesis and authoring of assessment content from multiple sources rather than copying existing text."
"1.4","Mechanism of Action","Synopsis","Investigators Brochure, Industry Literature","","","Include the investigational product (IP)â€™s mechanism of action if known.
Describe comprehensively and with great detail how the investigational drug or treatment exerts its intended biological effects. Indicate the drug class or type, and describe the mechanism of action for its drug class or type. Also describe how two or more mechanisms of action might interact.
","*Include the investigational product (IP)’s mechanism of action if known.*
","PIPELINE: RAG

- Describe the mechanism of action of the investigational product if known
- Include information only if mechanism of action data is available in the Investigator's Brochure or referenced input documents
- Exclude if mechanism of action information is not available","The input instruction requires describing the investigational product's mechanism of action 'if known', which indicates conditional content inclusion based on availability. This was transformed into a RAG directive using the action verb 'Describe' to tell the AI what to do rather than what the section is about. The original conditional language 'if known' was preserved and expanded into explicit conditions specifying where to source the information (Investigator's Brochure or referenced input documents) and what to do if the information is not available (exclude it). Since this requires synthesis and authoring of mechanism of action content from source documents rather than copying existing text, RAG pipeline was selected. The instruction was kept self-contained within the current section without adding cross-references or expanding beyond what was explicitly stated in the input."
"2","STUDY OBJECTIVES AND ENDPOINTS","Synopsis","","Heading","","","","",""
"2.1","Primary Objective(s) and Endpoint(s)","Synopsis","","","","Insert the primary objectives and endpoints copied from the synopsis together in this section in tabular format.
| Objective(s)     | Endpoint(s)      |
|------------------|------------------|
|                  |                  |
|                  |                  |
|                  |                  |
","Insert the objectives and endpoints together in this section in tabular format as applicable to the study in the following style: “To evaluate…”

| Objective(s) | Endpoint(s) |
| :---- | :---- |
|  |  |
|  |  |
|  |  |","PIPELINE: TEXT_MANIPULATION

- Copy the primary objective(s) and corresponding endpoint(s) from the Synopsis
- Format the content as a table with two columns: ""Objective(s)"" and ""Endpoint(s)""
- Present each objective using the format ""To evaluate..."" as applicable to the study
- Include all primary objectives and their corresponding endpoints in separate rows
- Use the following table structure:

| Objective(s) | Endpoint(s) |
| :---- | :---- |
|  |  |
|  |  |
|  |  |","The input instruction specifies copying objectives and endpoints in tabular format, which is a TEXT_MANIPULATION task involving copying and formatting existing content. The instruction preserves the exact table structure provided in the input (including the column headers and formatting with colons and dashes). The phrase 'as applicable to the study' was retained to preserve the original conditional language. The format requirement 'To evaluate...' was maintained exactly as specified. Since this is section 2.1 focusing on Primary Objectives, the instruction was scoped to primary objectives only, with the Synopsis identified as the primary source per the authoring mode rules. The table structure with empty rows was preserved to show the expected format for the AI system."
